company,banner_url,status
"ADNOC","https://hank-hee.github.io/Hank/adnoc-banner.html","ready"
"BP","https://hank-hee.github.io/Hank/bp-banner.html","ready"
"MODEC","https://hank-hee.github.io/Hank/modec-banner.html","ready"
"Chiyoda","https://hank-hee.github.io/Hank/chiyoda-banner.html","ready"
"Eni","https://hank-hee.github.io/Hank/eni-banner.html","ready"
"Shell","https://hank-hee.github.io/Hank/shell-banner.html","ready"
"Apache Corporation","https://hank-hee.github.io/Hank/apache-corporation-banner.html","ready"
"Black & Veatch","https://hank-hee.github.io/Hank/black-and-veatch-banner.html","ready"
"Braskem","https://hank-hee.github.io/Hank/braskem-banner.html","ready"
"Buckeye Partners","https://hank-hee.github.io/Hank/buckeye-partners-banner.html","ready"
"Bumi Armada","https://hank-hee.github.io/Hank/bumi-armada-banner.html","ready"
"BW Offshore Limited","https://hank-hee.github.io/Hank/bw-offshore-limited-banner.html","ready"
"Canacol Energy","https://hank-hee.github.io/Hank/canacol-energy-banner.html","ready"
"Canadian Natural Resources","https://hank-hee.github.io/Hank/canadian-natural-resources-banner.html","ready"
"Cedar LNG","https://hank-hee.github.io/Hank/cedar-lng-banner.html","ready"
"Cenovus Energy","https://hank-hee.github.io/Hank/cenovus-energy-banner.html","ready"
"City Combustibles","https://hank-hee.github.io/Hank/city-combustibles-banner.html","ready"
"ConocoPhillips","https://hank-hee.github.io/Hank/conocophillips-banner.html","ready"
"Delfin Midstream","https://hank-hee.github.io/Hank/delfin-midstream-banner.html","ready"
"Devon Energy","https://hank-hee.github.io/Hank/devon-energy-banner.html","ready"
"Ecopetrodom","https://hank-hee.github.io/Hank/ecopetrodom-banner.html","ready"
"Ecopetrol","https://hank-hee.github.io/Hank/ecopetrol-banner.html","ready"
"Enbridge","https://hank-hee.github.io/Hank/enbridge-banner.html","ready"
"Enel Américas","https://hank-hee.github.io/Hank/enel-americas-banner.html","ready"
"Excelerate Energy","https://hank-hee.github.io/Hank/excelerate-energy-banner.html","ready"
"Exmar","https://hank-hee.github.io/Hank/exmar-banner.html","ready"
"ExxonMobil","https://hank-hee.github.io/Hank/exxonmobil-banner.html","ready"
"ExxonMobil Guyana","https://hank-hee.github.io/Hank/exxonmobil-guyana-banner.html","ready"
"Fluor","https://hank-hee.github.io/Hank/fluor-banner.html","ready"
"Frontera Energy","https://hank-hee.github.io/Hank/frontera-energy-banner.html","ready"
"Galp Energia","https://hank-hee.github.io/Hank/galp-energia-banner.html","ready"
"Genting","https://hank-hee.github.io/Hank/genting-banner.html","ready"
"GeoPark","https://hank-hee.github.io/Hank/geopark-banner.html","ready"
"Golar LNG","https://hank-hee.github.io/Hank/golar-lng-banner.html","ready"
"Grupo IEnova","https://hank-hee.github.io/Hank/grupo-ienova-banner.html","ready"
"Guyana Energy Agency","https://hank-hee.github.io/Hank/guyana-energy-agency-banner.html","ready"
"Hanwha Ocean","https://hank-hee.github.io/Hank/hanwha-ocean-banner.html","ready"
"Harbour Energy","https://hank-hee.github.io/Hank/harbour-energy-banner.html","ready"
"Heritage Petroleum","https://hank-hee.github.io/Hank/heritage-petroleum-banner.html","ready"
"Hess Guyana","https://hank-hee.github.io/Hank/hess-guyana-banner.html","ready"
"Imperial Oil","https://hank-hee.github.io/Hank/imperial-oil-banner.html","ready"
"Inicio","https://hank-hee.github.io/Hank/ice-banner.html","ready"
"Inpex","https://hank-hee.github.io/Hank/inpex-banner.html","ready"
"Ithaca Energy","https://hank-hee.github.io/Hank/ithaca-energy-banner.html","ready"
"KBR","https://hank-hee.github.io/Hank/kbr-banner.html","ready"
"KOGAS","https://hank-hee.github.io/Hank/kogas-banner.html","ready"
"Kosmos Energy","https://hank-hee.github.io/Hank/kosmos-energy-banner.html","ready"
"MISC Group (Media Cloud)","https://hank-hee.github.io/Hank/misc-banner.html","ready"
"Mubadala Energy","https://hank-hee.github.io/Hank/mubadala-energy-banner.html","ready"
"NextEra Energy","https://hank-hee.github.io/Hank/nextera-energy-banner.html","ready"
"Occidental Petroleum","https://hank-hee.github.io/Hank/occidental-petroleum-banner.html","ready"
"Pampa Energía","https://hank-hee.github.io/Hank/pampa-energia-banner.html","ready"
"Pan American Energy","https://hank-hee.github.io/Hank/pan-american-energy-banner.html","ready"
"Perenco","https://hank-hee.github.io/Hank/perenco-banner.html","ready"
"Permian Resources","https://hank-hee.github.io/Hank/permian-resources-banner.html","ready"
"Pertamina","https://hank-hee.github.io/Hank/pertamina-banner.html","ready"
"Petrobras","https://hank-hee.github.io/Hank/petrobras-banner.html","ready"
"Petroperú","https://hank-hee.github.io/Hank/petroperu-banner.html","ready"
"Pluspetrol","https://hank-hee.github.io/Hank/pluspetrol-banner.html","ready"
"Repsol","https://hank-hee.github.io/Hank/repsol-banner.html","ready"
"Saipem","https://hank-hee.github.io/Hank/saipem-banner.html","ready"
"Santos","https://hank-hee.github.io/Hank/santos-banner.html","ready"
"SBM Offshore","https://hank-hee.github.io/Hank/sbm-offshore-banner.html","ready"
"Seatrium","https://hank-hee.github.io/Hank/seatrium-banner.html","ready"
"Shanghai Zhenhua Heavy Industries Co., Ltd. (ZPMC)","https://hank-hee.github.io/Hank/shanghai-zhenhua-heavy-industries-co-ltd-zpmc-banner.html","ready"
"Sonangol","https://hank-hee.github.io/Hank/sonangol-banner.html","ready"
"Staatsolie Maatschappij Suriname","https://hank-hee.github.io/Hank/staatsolie-maatschappij-suriname-banner.html","ready"
"Talos Energy","https://hank-hee.github.io/Hank/talos-energy-banner.html","ready"
"TC Energy","https://hank-hee.github.io/Hank/tc-energy-banner.html","ready"
"Technip Energies","https://hank-hee.github.io/Hank/technip-energies-banner.html","ready"
"TotalEnergies","https://hank-hee.github.io/Hank/totalenergies-banner.html","ready"
"TotalEnergies Suriname","https://hank-hee.github.io/Hank/totalenergies-suriname-banner.html","ready"
"Touchstone Exploration","https://hank-hee.github.io/Hank/touchstone-exploration-banner.html","ready"
"Venture Global LNG","https://hank-hee.github.io/Hank/venture-global-lng-banner.html","ready"
"West Indies Oil Company","https://hank-hee.github.io/Hank/west-indies-oil-company-banner.html","ready"
"Woodside Energy","https://hank-hee.github.io/Hank/woodside-energy-banner.html","ready"
"Worley","https://hank-hee.github.io/Hank/worley-banner.html","ready"
"Yantai CIMC Raffles Marine Technology Group Co., Ltd.","https://hank-hee.github.io/Hank/yantai-cimc-raffles-marine-technology-group-co-ltd-banner.html","ready"
"Yinson Production Offshore Pte. Ltd.","https://hank-hee.github.io/Hank/yinson-production-offshore-pte-ltd-banner.html","ready"
"ACE Energy","","pending logo"
"AG&P LNG","","pending logo"
"Andes Petroleum","","pending logo"
"Azule","","pending logo"
"Bechtel","","pending logo"
"BOC Gas & Power","","pending logo"
"BOMESC","","pending logo"
"CFE","","pending logo"
"Cheniere Energy","","pending logo"
"Chevron","","pending logo"
"Citla Energy","","pending logo"
"CNOOC","","pending logo"
"CNPC","","pending logo"
"Copec","","pending logo"
"COSCO SHIPPING Heavy Industry Co., Ltd.","","pending logo"
"Coterra Energy","","pending logo"
"D&E Caribbean Oil","","pending logo"
"Daewoo Engineering","","pending logo"
"DCP Midstream","","pending logo"
"Diamondback Energy","","pending logo"
"Distribuidora Nicaragüense de Petróleo","","pending logo"
"EOG Resources","","pending logo"
"Equinor","","pending logo"
"Grupo Tropigas","","pending logo"
"HONPETROL","","pending logo"
"Hyundai Engineering","","pending logo"
"Höegh Evi","","pending logo"
"JGC","","pending logo"
"Kiewit","","pending logo"
"Kumul Petroleum Holdings","","pending logo"
"LNG Canada","","pending logo"
"Marathon Oil","","pending logo"
"McDermott","","pending logo"
"New Fortress Energy","","pending logo"
"NNPC","","pending logo"
"Offshore Oil Engineering Co., Ltd. (COOEC)","","pending logo"
"Pacific Oil","","pending logo"
"PDVSA","","pending logo"
"Pemex","","pending logo"
"Perenco Guatemala","","pending logo"
"Petroecuador","","pending logo"
"Petronan","","pending logo"
"Petronas","","pending logo"
"Petronic","","pending logo"
"Petroterminal de El Salvador","","pending logo"
"Pioneer Natural Resources","","pending logo"
"PLN","","pending logo"
"QatarEnergy","","pending logo"
"Raízen","","pending logo"
"Recope","","pending logo"
"Samsung Engineering","","pending logo"
"Saudi Aramco","","pending logo"
"Sempra","","pending logo"
"Sempra Energy","","pending logo"
"SHI","","pending logo"
"Sinopec","","pending logo"
"SNPC","","pending logo"
"Sterling (SEEPCO)","","pending logo"
"Suncor Energy","","pending logo"
"Turkish Petroleum(TPAO)","","pending logo"
"United Oil & Gas","","pending logo"
"XRG","","pending logo"
"YPF","","pending logo"
"YPFB","","pending logo"
